Month;CLIENTNUM;wealth_tag;card_type;Revlv_ind;spend_category;Trans_amt;trans_cnt
1301;9124400;High Net Worth;Blue;Transactor;Grocery;76.4;9
1301;9124400;High Net Worth;Blue;Transactor;Auto;55.48;6
1301;5782042;High Net Worth;Blue;Transactor;Airlines;79.16;8
1301;5782042;High Net Worth;Blue;Transactor;Grocery;78.87;8
1301;5782042;High Net Worth;Blue;Transactor;Auto;58.0;6
1301;3427120;High Net Worth;Blue;Transactor;Auto;48.01;6
1301;3427120;High Net Worth;Blue;Transactor;Airlines;72.82;9
1301;3928350;High Net Worth;Blue;Transactor;Business;59.04;6
1301;4653449;High Net Worth;Blue;Transactor;Grocery;80.43;9
1301;4653449;High Net Worth;Blue;Transactor;Auto;59.52;6
1301;1929367;High Net Worth;Blue;Transactor;Grocery;68.02;7
1301;1929367;High Net Worth;Blue;Transactor;Entertainment;37.61;3
1301;5225795;High Net Worth;Blue;Transactor;Grocery;58.84;7
1301;5225795;High Net Worth;Blue;Transactor;Auto;40.11;5
1301;5225795;High Net Worth;Blue;Transactor;Airlines;76.69;8
1301;5225795;High Net Worth;Blue;Transactor;Personal;32.22;3
1301;8929607;High Net Worth;Blue;Transactor;Grocery;63.95;7
1301;8929607;High Net Worth;Blue;Transactor;Personal;34.42;3
1301;8929607;High Net Worth;Blue;Transactor;Airlines;61.8;6
1301;9603312;High Net Worth;Blue;Transactor;Grocery;59.75;7
1301;9603312;High Net Worth;Blue;Transactor;Airlines;63.92;7
1301;4091287;High Net Worth;Blue;Transactor;Airlines;81.51;7
1301;4091287;High Net Worth;Blue;Transactor;Grocery;75.73;7
1301;4091287;High Net Worth;Blue;Transactor;Personal;25.7;3
1301;5409823;High Net Worth;Blue;Occasional_Revolver;Business;45.69;5
1301;5409823;High Net Worth;Blue;Occasional_Revolver;Personal;30.56;3
1301;4812097;High Net Worth;Blue;Occasional_Revolver;Personal;21.42;2
1301;4812097;High Net Worth;Blue;Occasional_Revolver;Grocery;59.65;7
1301;4812097;High Net Worth;Blue;Occasional_Revolver;Entertainment;30.37;2
1301;4812097;High Net Worth;Blue;Occasional_Revolver;Business;52.4;5
1301;6163320;High Net Worth;Blue;Occasional_Revolver;Entertainment;24.18;3
1301;6163320;High Net Worth;Blue;Occasional_Revolver;Business;41.16;5
1301;6163320;High Net Worth;Blue;Occasional_Revolver;Airlines;61.53;6
1301;2325785;High Net Worth;Blue;Occasional_Revolver;Grocery;59.43;7
1301;2325785;High Net Worth;Blue;Occasional_Revolver;Entertainment;31.73;3
1301;2325785;High Net Worth;Blue;Occasional_Revolver;Auto;44.33;5
1301;2325785;High Net Worth;Blue;Occasional_Revolver;Business;44.9;4
1301;7794512;High Net Worth;Blue;Occasional_Revolver;Entertainment;22.29;3
1301;7794512;High Net Worth;Blue;Occasional_Revolver;Airlines;58.61;7
1301;7794512;High Net Worth;Blue;Occasional_Revolver;Personal;23.28;3
1301;623061;High Net Worth;Blue;Occasional_Revolver;Personal;41.8;2
1301;623061;High Net Worth;Blue;Occasional_Revolver;Business;42.74;4
1301;3641946;High Net Worth;Blue;Occasional_Revolver;Grocery;52.38;7
1301;3641946;High Net Worth;Blue;Occasional_Revolver;Business;37.9;4
1301;7130299;High Net Worth;Blue;Occasional_Revolver;Personal;26.52;4
1301;7130299;High Net Worth;Blue;Occasional_Revolver;Auto;44.33;4
1301;5111185;High Net Worth;Blue;Occasional_Revolver;Entertainment;16.31;3
1301;5111185;High Net Worth;Blue;Occasional_Revolver;Auto;41.69;4
1301;6083569;High Net Worth;Blue;Occasional_Revolver;Personal;20.84;2
1301;6083569;High Net Worth;Blue;Occasional_Revolver;Grocery;48.31;5
1301;6083569;High Net Worth;Blue;Occasional_Revolver;Entertainment;24.69;2
1301;7685551;High Net Worth;Blue;Revolver;Personal;23.84;3
1301;7685551;High Net Worth;Blue;Revolver;Business;32.66;4
1301;7685551;High Net Worth;Blue;Revolver;Entertainment;31.48;3
1301;8035467;High Net Worth;Blue;Revolver;Airlines;51.28;5
1301;8035467;High Net Worth;Blue;Revolver;Business;31.84;4
1301;8035467;High Net Worth;Blue;Revolver;Grocery;47.52;5
1301;4475931;High Net Worth;Blue;Revolver;Airlines;49.34;5
1301;1432268;High Net Worth;Blue;Revolver;Auto;41.56;4
1301;1432268;High Net Worth;Blue;Revolver;Personal;22.82;3
1301;1432268;High Net Worth;Blue;Revolver;Entertainment;18.88;2
1301;1432268;High Net Worth;Blue;Revolver;Business;47.02;5
1301;1997139;High Net Worth;Blue;Revolver;Airlines;49.17;5
1301;1997139;High Net Worth;Blue;Revolver;Business;30.82;5
1301;4698882;High Net Worth;Blue;Revolver;Personal;21.03;2
1301;4698882;High Net Worth;Blue;Revolver;Auto;28.07;3
1301;4698882;High Net Worth;Blue;Revolver;Business;36.34;4
1301;4698882;High Net Worth;Blue;Revolver;Airlines;36.85;5
1301;5358353;High Net Worth;Blue;Revolver;Airlines;37.79;5
1301;5358353;High Net Worth;Blue;Revolver;Business;32.1;3
1301;9769134;High Net Worth;Blue;Revolver;Grocery;43.04;4
1301;9769134;High Net Worth;Blue;Revolver;Business;23.96;4
1301;2555103;High Net Worth;Blue;Revolver;Entertainment;14.8;3
1301;2555103;High Net Worth;Blue;Revolver;Business;30.26;4
1301;2555103;High Net Worth;Blue;Revolver;Auto;43.38;3
1301;498841;High Net Worth;Blue;Revolver;Personal;23.13;2
1301;498841;High Net Worth;Blue;Revolver;Business;29.3;4
1301;498841;High Net Worth;Blue;Revolver;Grocery;37.52;5
1301;50324;High Net Worth;Blue;Delinquent;Grocery;33.49;3
1301;50324;High Net Worth;Blue;Delinquent;Business;21.74;2
1301;50324;High Net Worth;Blue;Delinquent;Airlines;18.59;3
1301;50324;High Net Worth;Blue;Delinquent;Entertainment;19.82;2
1301;1899220;High Net Worth;Blue;Delinquent;Business;13.23;3
1301;1899220;High Net Worth;Blue;Delinquent;Grocery;18.86;2
1301;1899220;High Net Worth;Blue;Delinquent;Entertainment;9.88;3
1301;1899220;High Net Worth;Blue;Delinquent;Personal;13.96;1
1301;4331977;High Net Worth;Blue;Delinquent;Entertainment;15.82;2
1301;4331977;High Net Worth;Blue;Delinquent;Grocery;18.4;3
1301;4331977;High Net Worth;Blue;Delinquent;Auto;15.43;2
1301;4331977;High Net Worth;Blue;Delinquent;Personal;21.16;3
1301;4331977;High Net Worth;Blue;Delinquent;Business;10.49;2
1301;8628092;High Net Worth;Blue;Delinquent;Entertainment;17.79;3
1301;8628092;High Net Worth;Blue;Delinquent;Airlines;25.62;2
1301;8628092;High Net Worth;Blue;Delinquent;Auto;15.76;3
1301;8628092;High Net Worth;Blue;Delinquent;Personal;10.78;2
1301;6634727;High Net Worth;Blue;Delinquent;Grocery;22.67;2
1301;6634727;High Net Worth;Blue;Delinquent;Business;27.93;2
1301;6634727;High Net Worth;Blue;Delinquent;Airlines;28.8;3
1301;3676409;High Net Worth;Blue;Delinquent;Entertainment;5.73;2
1301;513186;High Net Worth;Blue;Delinquent;Personal;6.02;3
1301;513186;High Net Worth;Blue;Delinquent;Business;23.37;1
1301;513186;High Net Worth;Blue;Delinquent;Auto;13.82;1
1301;687587;High Net Worth;Blue;Delinquent;Grocery;14.93;2
1301;687587;High Net Worth;Blue;Delinquent;Entertainment;5.87;1
1301;687587;High Net Worth;Blue;Delinquent;Business;15.66;2
1301;687587;High Net Worth;Blue;Delinquent;Personal;8.96;4
1301;4454215;High Net Worth;Blue;Delinquent;Airlines;18.73;3
1301;4454215;High Net Worth;Blue;Delinquent;Auto;16.95;4
1301;4454215;High Net Worth;Blue;Delinquent;Business;23.7;4
1301;4454215;High Net Worth;Blue;Delinquent;Entertainment;14.98;1
1301;5847160;High Net Worth;Blue;Delinquent;Airlines;11.65;3
1301;5847160;High Net Worth;Blue;Delinquent;Business;15.08;3
1301;5847160;High Net Worth;Blue;Delinquent;Personal;27.03;2
1301;5847160;High Net Worth;Blue;Delinquent;Auto;17.12;3
1301;4215796;High Net Worth;Gold;Transactor;Airlines;148.64;16
1301;4215796;High Net Worth;Gold;Transactor;Grocery;148.0;16
1301;4215796;High Net Worth;Gold;Transactor;Entertainment;53.46;6
1301;4215796;High Net Worth;Gold;Transactor;Auto;97.09;10
1301;7780233;High Net Worth;Gold;Transactor;Personal;59.62;6
1301;7780233;High Net Worth;Gold;Transactor;Airlines;149.94;17
1301;2079955;High Net Worth;Gold;Transactor;Personal;48.14;7
1301;2079955;High Net Worth;Gold;Transactor;Business;96.73;11
1301;2079955;High Net Worth;Gold;Transactor;Auto;111.79;11
1301;2079955;High Net Worth;Gold;Transactor;Airlines;156.57;16
1301;6394261;High Net Worth;Gold;Transactor;Business;97.6;12
1301;6394261;High Net Worth;Gold;Transactor;Auto;96.25;11
1301;6394261;High Net Worth;Gold;Transactor;Grocery;147.47;15
1301;2707262;High Net Worth;Gold;Transactor;Airlines;167.26;15
1301;3048859;High Net Worth;Gold;Transactor;Personal;;7
1301;2707262;High Net Worth;Gold;Transactor;Entertainment;51.91;5
1301;4104636;High Net Worth;Gold;Transactor;Grocery;120.64;12
1301;4104636;High Net Worth;Gold;Transactor;Entertainment;46.63;6
1301;7780379;High Net Worth;Gold;Transactor;Auto;80.07;8
1301;7780379;High Net Worth;Gold;Transactor;Airlines;122.95;13
1301;7780379;High Net Worth;Gold;Transactor;Personal;54.3;5
1301;5380579;High Net Worth;Gold;Transactor;Business;84.93;9
1301;5380579;High Net Worth;Gold;Transactor;Airlines;120.11;13
1301;5380579;High Net Worth;Gold;Transactor;Personal;38.67;4
1301;4124181;High Net Worth;Gold;Transactor;Business;81.83;9
1301;4124181;High Net Worth;Gold;Transactor;Airlines;120.26;13
1301;4124181;High Net Worth;Gold;Transactor;Auto;83.61;10
1301;4124181;High Net Worth;Gold;Transactor;Personal;56.76;5
1301;3048859;High Net Worth;Gold;Transactor;Entertainment;50.13;5
1301;3048859;High Net Worth;Gold;Transactor;Grocery;123.83;13
1301;3048859;High Net Worth;Gold;Transactor;Auto;78.61;9
1301;2489935;High Net Worth;Gold;Occasional_Revolver;Personal;50.21;5
1301;2489935;High Net Worth;Gold;Occasional_Revolver;Auto;77.06;9
1301;2489935;High Net Worth;Gold;Occasional_Revolver;Business;85.91;9
1301;2292809;High Net Worth;Gold;Occasional_Revolver;Grocery;129.92;14
1301;2292809;High Net Worth;Gold;Occasional_Revolver;Personal;41.71;5
1301;6691041;High Net Worth;Gold;Occasional_Revolver;Personal;48.27;5
1301;6691041;High Net Worth;Gold;Occasional_Revolver;Grocery;133.41;12
1301;6691041;High Net Worth;Gold;Occasional_Revolver;Auto;92.74;9
1301;5784166;High Net Worth;Gold;Occasional_Revolver;Grocery;118.09;13
1301;5784166;High Net Worth;Gold;Occasional_Revolver;Personal;45.31;5
1301;5784166;High Net Worth;Gold;Occasional_Revolver;Airlines;133.58;13
1301;5784166;High Net Worth;Gold;Occasional_Revolver;Auto;85.25;8
1301;5277837;High Net Worth;Gold;Occasional_Revolver;Personal;46.25;6
1301;5277837;High Net Worth;Gold;Occasional_Revolver;Airlines;124.99;13
1301;5277837;High Net Worth;Gold;Occasional_Revolver;Grocery;124.91;12
1301;5277837;High Net Worth;Gold;Occasional_Revolver;Auto;82.39;8
1301;5885221;High Net Worth;Gold;Occasional_Revolver;Airlines;112.24;10
1301;5885221;High Net Worth;Gold;Occasional_Revolver;Entertainment;38.57;5
1301;5885221;High Net Worth;Gold;Occasional_Revolver;Grocery;98.76;10
1301;438969;High Net Worth;Gold;Occasional_Revolver;Personal;40.65;4
1301;438969;High Net Worth;Gold;Occasional_Revolver;Auto;67.04;7
1301;2358775;High Net Worth;Gold;Occasional_Revolver;Airlines;104.31;10
1301;2358775;High Net Worth;Gold;Occasional_Revolver;Personal;41.28;4
1301;2358775;High Net Worth;Gold;Occasional_Revolver;Auto;64.97;8
1301;2358775;High Net Worth;Gold;Occasional_Revolver;Business;71.43;8
1301;1316815;High Net Worth;Gold;Occasional_Revolver;Auto;62.18;7
1301;1316815;High Net Worth;Gold;Occasional_Revolver;Personal;49.81;4
1301;1316815;High Net Worth;Gold;Occasional_Revolver;Entertainment;59.66;4
1301;6523417;High Net Worth;Gold;Occasional_Revolver;Business;67.92;7
1301;6523417;High Net Worth;Gold;Occasional_Revolver;Auto;83.19;7
1301;6523417;High Net Worth;Gold;Occasional_Revolver;Airlines;101.57;11
1301;1424484;High Net Worth;Gold;Revolver;Entertainment;48.17;4
1301;1424484;High Net Worth;Gold;Revolver;Auto;68.47;6
1301;5291608;High Net Worth;Gold;Revolver;Business;72.99;7
1301;5291608;High Net Worth;Gold;Revolver;Airlines;108.49;10
1301;5291608;High Net Worth;Gold;Revolver;Auto;69.74;6
1301;5291608;High Net Worth;Gold;Revolver;Grocery;91.82;9
1301;2351864;High Net Worth;Gold;Revolver;Airlines;91.11;10
1301;2351864;High Net Worth;Gold;Revolver;Grocery;92.01;10
1301;2351864;High Net Worth;Gold;Revolver;Entertainment;29.26;6
1301;1028077;High Net Worth;Gold;Revolver;Personal;29.12;4
