,corpus,Sentiment
0,wow love place,1
1,crust good,0
2,tasti textur nasti,0
3,stop late may bank holiday rick steve recommend love,1
4,select menu great price,1
5,get angri want damn pho,0
6,honeslti tast fresh,0
7,potato like rubber could tell made ahead time kept warmer,0
8,fri great,1
9,great touch,1
10,servic prompt,1
11,would go back,0
12,cashier care ever say still end wayyy overpr,0
13,tri cape cod ravoli chicken cranberri mmmm,1
14,disgust pretti sure human hair,0
15,shock sign indic cash,0
16,highli recommend,1
17,waitress littl slow servic,0
18,place worth time let alon vega,0
19,like,0
20,burritto blah,0
21,food amaz,1
22,servic also cute,1
23,could care less interior beauti,1
24,perform,1
25,right red velvet cake ohhh stuff good,1
26,never brought salad ask,0
27,hole wall great mexican street taco friendli staff,1
28,took hour get food tabl restaur food luke warm sever run around like total overwhelm,0
29,worst salmon sashimi,0
30,also combo like burger fri beer decent deal,1
31,like final blow,0
32,found place accid could happier,1
33,seem like good quick place grab bite familiar pub food favor look elsewher,0
34,overal like place lot,1
35,redeem qualiti restaur inexpens,1
36,ampl portion good price,1
37,poor servic waiter made feel like stupid everi time came tabl,0
38,first visit hiro delight,1
39,servic suck,0
40,shrimp tender moist,1
41,deal good enough would drag establish,0
42,hard judg whether side good gross melt styrofoam want eat fear get sick,0
43,posit note server attent provid great servic,1
44,frozen puck disgust worst peopl behind regist,0
45,thing like prime rib dessert section,1
46,bad food damn gener,0
47,burger good beef cook right,1
48,want sandwich go firehous,1
49,side greek salad greek dress tasti pita hummu refresh,1
50,order duck rare pink tender insid nice char outsid,1
51,came run us realiz husband left sunglass tabl,1
52,chow mein good,1
53,horribl attitud toward custom talk one custom enjoy food,0
54,portion huge,1
55,love friendli server great food wonder imagin menu,1
56,heart attack grill downtown vega absolut flat line excus restaur,0
57,much seafood like string pasta bottom,0
58,salad right amount sauc power scallop perfectli cook,1
59,rip banana rip petrifi tasteless,0
60,least think refil water struggl wave minut,0
61,place receiv star appet,1
62,cocktail handmad delici,1
63,definit go back,1
64,glad found place,1
65,great food servic huge portion give militari discount,1
66,alway great time do gringo,1
67,updat went back second time still amaz,1
68,got food appar never heard salt batter fish chewi,0
69,great way finish great,1
70,deal includ tast drink jeff went beyond expect,1
71,realli realli good rice time,1
72,servic meh,0
73,took min get milkshak noth chocol milk,0
74,guess known place would suck insid excalibur use common sens,0
75,scallop dish quit appal valu well,0
76,time bad custom servic,0
77,sweet potato fri good season well,1
78,today second time lunch buffet pretti good,1
79,much good food vega feel cheat wast eat opportun go rice compani,0
80,come like experienc underwhelm relationship parti wait person ask break,0
81,walk place smell like old greas trap other eat,0
82,turkey roast beef bland,0
83,place,1
84,pan cake everyon rave tast like sugari disast tailor palat six year old,0
85,love pho spring roll oh yummi tri,1
86,poor batter meat ratio made chicken tender unsatisfi,0
87,say food amaz,1
88,omelet die,1
89,everyth fresh delici,1
90,summari larg disappoint dine experi,0
91,like realli sexi parti mouth outrag flirt hottest person parti,1
92,never hard rock casino never ever step forward,0
93,best breakfast buffet,1
94,say bye bye tip ladi,0
95,never go,0
96,back,1
97,food arriv quickli,1
98,good,0
99,side cafe serv realli good food,1
100,server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go,1
101,good thing waiter help kept bloddi mari come,1
102,best buffet town price cannot beat,1
103,love mussel cook wine reduct duck tender potato dish delici,1
104,one better buffet,1
105,went tigerlilli fantast afternoon,1
106,food delici bartend attent person got great deal,1
107,ambienc wonder music play,1
108,go back next trip,1
109,sooooo good,1
110,real sushi lover let honest yama good,0
111,least min pass us order food arriv busi,0
112,realli fantast thai restaur definit worth visit,1
113,nice spici tender,1
114,good price,1
115,check,1
116,pretti gross,0
117,better atmospher,0
118,kind hard mess steak,0
119,although much like look sound place actual experi bit disappoint,0
120,know place manag serv blandest food ever eaten prepar indian cuisin,0
121,worst servic boot least worri,0
122,servic fine waitress friendli,1
123,guy steak steak love son steak best worst place said best steak ever eaten,1
124,thought ventur away get good sushi place realli hit spot night,1
125,host staff lack better word bitch,0
126,bland like place number reason want wast time bad review leav,0
127,phenomen food servic ambianc,1
128,return,0
129,definit worth ventur strip pork belli return next time vega,1
130,place way overpr mediocr food,0
131,penn vodka excel,1
132,good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger,1
133,manag rude,0
134,delici nyc bagel good select cream chees real lox caper even,1
135,great subway fact good come everi subway meet expect,1
136,serious solid breakfast,1
137,one best bar food vega,1
138,extrem rude realli mani restaur would love dine weekend vega,0
139,drink never empti made realli great menu suggest,1
140,,0
141,waiter help friendli rare check us,0
142,husband ate lunch disappoint food servic,0
143,red curri much bamboo shoot tasti,0
144,nice blanket moz top feel like done cover subpar food,1
145,bathroom clean place well decor,1
146,menu alway chang food qualiti go servic extrem slow,0
147,servic littl slow consid serv peopl server food come slow pace,0
148,give thumb,0
149,watch waiter pay lot attent tabl ignor us,0
150,fianc came middl day greet seat right away,1
151,great restaur mandalay bay,1
152,wait forti five minut vain,0
153,crostini came salad stale,0
154,highlight great qualiti nigiri,1
155,staff friendli joint alway clean,1
156,differ cut piec day still wonder tender well well flavor,1
157,order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago,1
158,place good,1
159,unfortun must hit bakeri leftov day everyth order stale,0
160,came back today sinc reloc still impress,0
161,seat immedi,1
162,menu divers reason price,1
163,avoid cost,0
164,restaur alway full never wait,1
165,delici,1
166,place hand one best place eat phoenix metro area,1
167,go look good food,0
168,never treat bad,0
169,bacon hella salti,1
170,also order spinach avocado salad ingredi sad dress liter zero tast,0
171,realli vega fine dine use right menu hand ladi price list,1
172,waitress friendli,1
173,lordi khao soi dish miss curri lover,1
174,everyth menu terrif also thrill made amaz accommod vegetarian daughter,1
175,perhap caught night judg review inspir go back,0
176,servic leav lot desir,0
177,atmospher modern hip maintain touch cozi,1
178,weekli haunt definit place come back everi,1
179,liter sat minut one ask take order,0
180,burger absolut flavor meat total bland burger overcook charcoal flavor,0
181,also decid send back waitress look like verg heart attack,0
182,dress treat rude,0
183,probabl dirt,0
184,love place hit spot want someth healthi lack quantiti flavor,1
185,order lemon raspberri ice cocktail also incred,1
186,food suck expect suck could imagin,0
187,interest decor,1
188,realli like crepe station,1
189,also serv hot bread butter home made potato chip bacon bit top origin good,1
190,watch prepar delici food,1
191,egg roll fantast,1
192,order arriv one gyro miss,0
193,salad wing ice cream dessert left feel quit satisfi,1
194,realli sure joey vote best hot dog valley reader phoenix magazin,0
195,best place go tasti bowl pho,1
196,live music friday total blow,0
197,never insult felt disrespect,0
198,friendli staff,1
199,worth drive,1
200,heard good thing place exceed everi hope could dream,1
201,food great serivc,1
202,warm beer help,0
203,great brunch spot,1
204,servic friendli invit,1
205,good lunch spot,1
206,live sinc first last time step foot place,0
207,worst experi ever,0
208,must night place,0
209,side delish mix mushroom yukon gold pure white corn beateou,1
210,bug never show would given sure side wall bug climb kitchen,0
211,minut wait salad realiz come time soon,0
212,friend love salmon tartar,1
213,go back,0
214,extrem tasti,1
215,waitress good though,1
216,soggi good,0
217,jamaican mojito delici,1
218,small worth price,0
219,food rich order accordingli,1
220,shower area outsid rins take full shower unless mind nude everyon see,0
221,servic bit lack,0
222,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl,0
223,hope bode go busi someon cook come,0
224,either cold enough flavor bad,0
225,love bacon wrap date,1
226,unbeliev bargain,1
227,folk otto alway make us feel welcom special,1
228,main also uninspir,0
229,place first pho amaz,1
230,wonder experi made place must stop whenev town,1
231,food bad enough enjoy deal world worst annoy drunk peopl,0
232,fun chef,1
233,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck,0
234,great place coupl drink watch sport event wall cover tv,1
235,possibl give zero star,0
236,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc,0
237,say would hardest decis honestli dish tast suppos tast amaz,1
238,roll eye may stay sure go back tri,0
239,everyon attent provid excel custom servic,1
240,horribl wast time money,0
241,dish quit flavour,1
242,time side restaur almost empti excus,0
243,busi either also build freez cold,0
244,like review said pay eat place,0
245,drink took close minut come one point,0
246,serious flavor delight folk,1
247,much better ayc sushi place went vega,1
248,light dark enough set mood,1
249,base sub par servic receiv effort show gratitud busi go back,0
250,owner realli great peopl,1
251,noth privileg work eat,0
